|time|     fromM      |       Instruction        |Reset|       toM       |writeM |    addressM    |     PCout      |
|0+  |              10|          000000          |  0  |                0|   0   |               0|               0|
|1   |              10|          000000          |  0  |               10|   0   |              10|               1|
|1+  |              10|          100100          |  0  |               10|   0   |               0|               1|
|2   |              10|          100100          |  0  |               10|   0   |              10|               2|
|2+  |              10|          100100          |  0  |               10|   0   |              10|               2|
|3   |              10|          100100          |  0  |               10|   0   |              20|               3|
|3+  |              10|          010101          |  0  |               20|   1   |              20|               3|
|4   |              10|          010101          |  0  |               20|   1   |              20|               4|
|4+  |              10|          010001          |  0  |               20|   1   |              10|               4|
|5   |              10|          010001          |  0  |               20|   1   |              10|               5|
|5+  |              10|          111100          |  0  |               10|   0   |               0|               5|
|6   |              10|          111100          |  0  |               10|   0   |               0|               6|
|6+  |              10|          100001          |  0  |               20|   0   |              10|               6|
|7   |              10|          100001          |  0  |               20|   0   |              30|               7|
|7+  |             -20|          001100          |  0  |               30|   0   |              30|               7|
|8   |             -20|          001100          |  0  |               30|   0   |              30|               8|
